time,elapsed_time,OD_135_V,OD_Ref_V,OD_90_V,temperature_C,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B,pump_inflow_time_s,pump_outflow_time_s,ekf_od_est,ekf_growth_rate,ekf_doubling_time_s,ekf_od_std,ekf_growth_rate_std,ekf_doubling_time_std_s
2026-06-25 12:50:40,2.384185791015625e-06,0.9118214285714286,0.0558125,0.5823839285714286,26.937,36.80194499999999,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-06-25 12:50:50,10.000081062316895,0.8410714285714286,0.06028571428571429,0.5429732142857143,26.937,36.500675988332034,0.0,0.0,0.0,0.0,0.0,0.0,0.8764452031379228,0.9999973121195284,inf,0.03873050428079611,0.0004999963396791411,inf
2026-06-25 12:51:00,20.000150203704834,0.8717410714285715,0.04630357142857143,0.5310446428571429,27.0,36.20203238921999,0.0,0.0,0.0,0.0,0.0,0.0,0.8748752852413904,0.9999969641366316,inf,0.03162583806466789,0.0004999766874700522,inf
2026-06-25 12:51:10,30.000243663787842,0.8509464285714285,0.05709821428571429,0.6550267857142857,27.125,35.13336448959588,0.0,0.0,0.0,0.0,0.0,0.0,0.8688876370733549,0.9999943283901142,inf,0.02739400622369313,0.0004999331319917429,inf
2026-06-25 12:51:20,40.00031661987305,0.8583839285714286,0.14485714285714285,0.5171607142857143,27.437,32.53184564309119,0.0,0.0,0.0,0.0,0.0,0.0,0.8667802973531009,0.9999927956428352,inf,0.024510382260610086,0.0004998581638542854,inf
2026-06-25 12:51:30,50.000391244888306,0.05254807692307692,0.1824326923076923,0.04435576923076923,27.75,29.127451075079442,0.0,0.0,0.0,0.0,0.0,0.0,0.730749996464076,0.9998448238169617,inf,0.6782019195409991,0.0004997441655334357,inf
2026-06-25 12:51:40,60.00047945976257,0.052321428571428574,0.08992857142857144,0.04282142857142857,28.125,24.927455117168424,0.0,0.0,0.0,0.0,0.0,0.0,0.056718313865527725,0.9998445563388996,inf,0.004396885294099151,0.0004997490960669937,inf
2026-06-25 12:51:50,70.00054788589478,0.05820535714285714,0.8809285714285714,0.052303571428571435,28.5,19.917908509461864,0.0,0.0,0.0,0.0,0.0,0.0,0.0567190726981545,0.9998445633568133,inf,0.004382199782563558,0.0004997540320619765,inf
2026-06-25 12:52:00,80.00062298774719,0.05799107142857143,0.7028035714285714,0.044633928571428574,28.937,15.591386100654587,0.0,0.0,0.0,0.0,0.0,0.0,0.05671840160742327,0.9998445753361609,inf,0.004367837612991807,0.0004997587702600441,inf
2026-06-25 12:52:10,90.00070524215698,0.058169642857142864,0.7074732142857142,0.0455,29.25,11.208612719453559,0.0,0.0,0.0,0.0,0.0,0.0,0.05671881155125591,0.9998445957543347,inf,0.004353794790425901,0.0004997631819390435,inf
