time,elapsed_time,temperature_C,OD_135_V,OD_Ref_V,OD_90_V,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B,ekf_od_est,ekf_growth_rate,ekf_doubling_time_s,ekf_od_std,ekf_growth_rate_std,ekf_doubling_time_std_s
2026-05-26 11:22:40,1.5020370483398438e-05,25.562,0.05667307692307692,0.7360288461538461,0.12764423076923076,53.322569999999985,0.0,0.0,0.0,0.0,,,,,,
2026-05-26 11:23:00,20.000155448913574,25.625,0.05503846153846154,0.763375,0.11032692307692307,53.13992372257231,0.0,0.0,0.0,0.0,0.055855769121391764,0.9999999961400554,inf,0.038729836053614096,0.000500004966518696,inf
2026-05-26 11:23:20,40.000324010849,26.25,0.05434615384615385,0.8126923076923076,0.12012500000000001,46.84003069372414,0.0,0.0,0.0,0.0,0.055352563492177674,0.9999999890789668,inf,0.031622788973361876,0.0005000098679942061,inf
2026-05-26 11:23:40,60.000478982925415,27.312,0.051769230769230776,1.392769230769231,0.061884615384615385,34.25887842289923,0.0,0.0,0.0,0.0,0.05445672778864869,0.999999964111298,inf,0.02738615950679205,0.0005000146736794124,inf
2026-05-26 11:24:00,80.00062203407288,28.562,0.05194791666666667,0.72584375,0.12745833333333334,20.56074328212619,0.0,0.0,0.0,0.0,0.05395496148698402,0.9999999410181386,inf,0.024494958785922175,0.000500019355786397,inf
2026-05-26 11:24:20,100.00075006484985,29.625,0.049567307692307695,0.6235288461538461,0.1309326923076923,8.03709917895554,0.0,0.0,0.0,0.0,0.05322367645569079,0.9999998909206822,inf,0.022360782926609733,0.0005000238862688503,inf
2026-05-26 11:24:40,120.00088381767273,30.375,0.047855769230769236,0.8765096153846154,0.12317307692307693,0.25632680919885775,1.0,0.0,0.0,0.0,0.05245681594498679,0.9999998179777091,inf,0.020702123968630807,0.0005000282397525666,inf
2026-05-26 11:25:00,140.00103497505188,30.75,0.04846153846153846,1.436278846153846,0.061086538461538456,4.953131654284001,1.0,0.0,0.0,0.0,0.051957386365560354,0.9999997551900975,inf,0.019365140450527944,0.0005000323927204692,inf
2026-05-26 11:25:20,160.00117325782776,30.812,0.049038461538461545,1.035451923076923,0.0845,5.940737642204777,1.0,0.0,0.0,0.0,0.05163303927321848,0.9999997031796231,inf,0.018257722713178635,0.0005000363208937875,inf
2026-05-26 11:25:40,180.0013792514801,30.687,0.04778846153846154,0.9985192307692308,0.07966346153846154,4.656293352144972,1.0,0.0,0.0,0.0,0.05124854996238498,0.9999996266361767,inf,0.017320907776444103,0.0005000399993077803,inf
2026-05-26 11:26:00,200.00150990486145,30.437,0.048019230769230765,0.7958365384615386,0.11084615384615384,1.8202475869095478,1.0,0.0,0.0,0.0,0.050954939946603495,0.9999995556480206,inf,0.016514966934862842,0.0005000434043508837,inf
2026-05-26 11:26:20,220.00163054466248,30.25,0.048817307692307695,1.0512019230769232,0.11184615384615385,0.3253499728882301,0.0,0.0,0.0,0.0,0.05077676880831607,0.9999995042523482,inf,0.01581202568150006,0.0005000465121229202,inf
2026-05-26 11:26:40,240.00178050994873,30.062,0.04752884615384615,1.4775,0.05494230769230769,2.5439238297486146,0.0,0.0,0.0,0.0,0.050526879651279714,0.999999419480856,inf,0.015191872322148069,0.0005000492978330771,inf
2026-05-26 11:27:00,260.00192856788635,29.875,0.048990384615384616,0.625375,0.12084615384615384,4.811399592758415,0.0,0.0,0.0,0.0,0.05041708862169891,0.9999993762348758,inf,0.014639444582552669,0.0005000517380814491,inf
2026-05-26 11:27:20,280.0020537376404,29.75,0.04859615384615385,0.6543557692307692,0.12659615384615386,6.377101741744278,0.0,0.0,0.0,0.0,0.0502956443163091,0.9999993212586069,inf,0.014143259893470456,0.000500053807872879,inf
2026-05-26 11:27:40,300.0021872520447,29.687,0.04788461538461539,1.2137115384615385,0.060528846153846155,7.2270042435479,0.0,0.0,0.0,0.0,0.05014489385165604,0.9999992435413249,inf,0.013694388419740446,0.0005000554826393642,inf
2026-05-26 11:28:00,320.0023522377014,29.687,0.048240384615384616,1.1029134615384615,0.08693269230769231,7.320906868482811,0.0,0.0,0.0,0.0,0.05003280214972351,0.999999178271922,inf,0.013285767436754446,0.0005000567385753402,inf
2026-05-26 11:28:20,340.00249004364014,29.687,0.04900961538461539,0.6535865384615385,0.12260576923076924,7.414809390435201,0.0,0.0,0.0,0.0,0.04997590389855094,0.9999991411258748,inf,0.012911728716795247,0.0005000575514899022,inf
2026-05-26 11:28:40,360.00261187553406,29.625,0.04925,1.2576442307692308,0.07272115384615384,8.271312465587851,0.0,0.0,0.0,0.0,0.049937645324317353,0.9999991132959652,inf,0.012567663261157082,0.0005000578963727066,inf
2026-05-26 11:29:00,380.0028192996979,29.687,0.04825961538461539,0.9899230769230769,0.11221153846153846,7.625865151072722,0.0,0.0,0.0,0.0,0.04985366983166441,0.999999045543947,inf,0.012249779012725675,0.0005000577479655728,inf
2026-05-26 11:29:20,400.0029616355896,29.75,0.04898076923076923,0.6385673076923077,0.12958653846153848,6.954317229970689,0.0,0.0,0.0,0.0,0.04981203947877059,0.9999990085254975,inf,0.01195492278071754,0.000500057082070999,inf
2026-05-26 11:29:40,420.00311064720154,29.75,0.04955769230769231,1.0456153846153846,0.11222115384615386,6.280670022357684,0.0,0.0,0.0,0.0,0.04980042522778107,0.99999899722318,inf,0.01168045061761361,0.0005000558737314203,inf
