time,elapsed_time,OD_135_V,OD_Ref_V,OD_90_V,temperature_C,CO2_ppm,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B
2026-02-22 15:33:56,1.9073486328125e-06,0.052875,0.9072500000000001,0.047178571428571424,24.125,720,70.0,0.0,0.0,0.0,0.0
2026-02-22 15:34:16,20.001037120819092,0.05322115384615385,0.8127307692307693,0.053105769230769234,24.125,610,70.0,0.0,0.0,0.0,0.0
2026-02-22 15:34:36,40.00147318840027,0.053057692307692306,0.9274423076923077,0.04579807692307692,24.812,570,64.9914080115223,0.0,0.0,0.0,0.0
2026-02-22 15:34:56,60.00154662132263,0.05386538461538462,0.8928653846153847,0.04991346153846154,26.062,570,51.435204623844626,0.0,0.0,0.0,0.0
2026-02-22 15:35:16,80.00162696838379,0.053740384615384613,0.8720865384615385,0.05108653846153847,26.75,570,35.900919803287984,0.0,0.0,0.0,0.0
2026-02-22 15:35:36,100.00169324874878,0.054634615384615386,0.8128173076923078,0.05141346153846154,28.812,570,19.977604100750685,0.0,0.0,0.0,0.0
2026-02-22 15:35:56,120.00177192687988,0.05477884615384616,0.8516730769230769,0.05143269230769231,29.75,580,8.902507822211966,0.0,0.0,0.0,0.0
2026-02-22 15:36:16,140.00186252593994,0.05439423076923077,0.8104711538461539,0.04949038461538462,30.375,570,2.1043569713938224,0.0,0.0,0.0,0.0
2026-02-22 15:36:36,160.00197958946228,0.054348214285714284,0.7940714285714287,0.05174107142857143,30.562,580,0.2849600051093253,1.0,0.0,0.0,0.0
2026-02-22 15:36:56,180.002051115036,0.05412499999999999,0.8406538461538461,0.049644230769230774,30.437,580,1.0604627770006507,0.0,0.0,0.0,0.0
2026-02-22 15:37:16,200.00211787223816,0.054634615384615386,0.7225480769230769,0.055288461538461536,30.187,610,3.9714365034699286,0.0,0.0,0.0,0.0
2026-02-22 15:37:36,220.0022211074829,0.054134615384615385,0.751,0.05188461538461538,29.875,590,6.9574852867591215,0.0,0.0,0.0,0.0
2026-02-22 15:37:56,240.00229477882385,0.054817307692307686,0.8536826923076923,0.04913461538461539,29.687,580,10.771837064538,0.0,0.0,0.0,0.0
2026-02-22 15:38:16,260.0024070739746,0.05433653846153846,0.7654230769230769,0.04996153846153846,29.562,570,12.407918066167829,0.0,0.0,0.0,0.0
2026-02-22 15:38:36,280.00249791145325,0.053739583333333334,0.7462307692307693,0.047865384615384615,29.437,580,13.332820844721777,0.0,0.0,0.0,0.0
2026-02-22 15:38:56,300.00258350372314,0.05425,0.8105937500000001,0.044909090909090905,29.437,580,13.501723633342962,0.0,0.0,0.0,0.0
2026-02-22 15:39:16,320.002676486969,0.05393749999999999,0.9740937500000001,0.042875,29.5,580,12.895726220780606,0.0,0.0,0.0,0.0
2026-02-22 15:39:36,340.00276041030884,0.0541,0.8255138888888889,0.04469318181818182,29.562,580,12.292429944652302,0.0,0.0,0.0,0.0
2026-02-22 15:39:56,360.00284147262573,0.054515625,0.7815375,0.044958333333333336,29.625,580,11.653656627405878,0.0,0.0,0.0,0.0
2026-02-22 15:40:16,380.0029103755951,0.05383333333333333,0.7240000000000001,0.045725,29.687,570,11.00355812289117,0.0,0.0,0.0,0.0
2026-02-22 15:40:36,400.00368094444275,0.05428125,0.719675,0.04493055555555556,29.75,590,10.332009367439742,0.0,0.0,0.0,0.0
2026-02-22 15:40:56,420.0037968158722,0.05333333333333333,0.716328125,0.044700000000000004,29.75,600,10.407011590991015,0.0,0.0,0.0,0.0
2026-02-22 15:41:16,440.0039732456207,0.0540875,0.682875,0.04509090909090909,29.812,580,9.733363703341464,0.0,0.0,0.0,0.0
2026-02-22 15:41:37,460.0040533542633,0.05407142857142857,0.735375,0.045589285714285714,29.75,590,10.543067348341937,0.0,0.0,0.0,0.0
2026-02-22 15:41:56,480.0041320323944,0.05424107142857143,0.7347788461538461,0.045026785714285714,29.75,580,10.618071893792148,0.0,0.0,0.0,0.0
2026-02-22 15:42:16,500.00421714782715,0.054163461538461535,0.7149519230769231,0.045375000000000006,29.75,560,10.693072985451217,0.0,0.0,0.0,0.0
2026-02-22 15:42:36,520.0046992301941,0.05435714285714286,0.7580803571428572,0.04535714285714286,29.75,550,10.76807403777122,0.0,0.0,0.0,0.0
2026-02-22 15:42:56,540.0058300495148,0.054413461538461536,0.7852596153846154,0.04635576923076923,29.75,510,10.843075183074468,0.0,0.0,0.0,0.0
