time,elapsed_time,Eyespy_ref_raw,Eyespy_ref_V,Eyespy_sct_raw,Eyespy_sct_V,temperature_C,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B,pump_outflow_time_s,pump_inflow_time_s,ekf_od_est,ekf_growth_rate,ekf_doubling_time_s,ekf_od_std,ekf_growth_rate_std,ekf_doubling_time_std_s
2026-02-28 01:57:17,2.193450927734375e-05,6,0.02766490676595355,294,2.0948529923398542,24.875,1.501875,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-28 01:57:26,10.000169038772583,5,0.027625843073824274,289,2.1102206488235113,24.812,1.501875,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-28 01:57:37,20.00273871421814,6,0.027971441855956226,337,2.1086599394297347,24.812,2.314275426936135,0.0,0.0,0.0,0.0,66.0,60.0,2.102538225315721,1.0000013411289894,5168452.562591558,0.038733373535286046,0.0004999547937190593,1926728094.3395426
2026-02-28 01:57:46,30.002873182296753,5,0.02756701774920607,292,2.0466359877854154,24.812,2.314275426936135,0.0,0.0,0.0,0.0,66.0,60.0,2.1086599394297347,1.0000013411289894,5168454.780623533,0.05222329678670936,0.0004999552937640196,1926730848.26779
2026-02-28 01:57:57,40.003063440322876,6,0.027727408673360394,317,2.080555681020539,24.812,2.3706758148765417,0.0,0.0,0.0,0.0,66.0,60.0,2.0466359877854154,1.0000013411289894,5169892.435015198,0.05222329678670936,0.0004999557938084797,1927268714.216382
2026-02-28 01:58:06,50.00320887565613,6,0.027574370914783347,305,2.039944607110095,24.812,2.3706758148765417,0.0,0.0,0.0,0.0,66.0,60.0,2.080555681020539,1.0000013411289894,5168456.382535515,0.05222329678670936,0.0004999562938524399,1926735299.5873861
2026-02-28 01:58:17,60.00482153892517,5,0.027640549404978825,292,2.0575333791709376,24.812,2.4270779623317567,0.0,0.0,0.0,0.0,66.0,60.0,2.039944607110095,1.0000013411289894,5168903.06953044,0.05222329678670936,0.0004999567938958997,1926903746.0984714
2026-02-28 01:58:26,70.00496101379395,5,0.027321146275215917,294,1.9933420819727166,24.812,2.4270779623317567,0.0,0.0,0.0,0.0,66.0,60.0,2.0575333791709376,1.0000013411289894,5168447.756855613,0.05222329678670936,0.0004999572939388596,1926735938.17688
2026-02-28 01:58:37,80.00508284568787,6,0.027456720265546936,289,1.967795346465867,24.875,2.483478354978546,0.0,0.0,0.0,0.0,66.0,60.0,1.9933420819727166,1.0000013411289894,5168453.6716075465,0.05222329678670936,0.0004999577939813192,1926740070.192506
2026-02-28 01:58:46,90.00523281097412,5,0.027407086397900328,255,1.9780681783501695,24.875,2.483478354978546,0.0,0.0,0.0,0.0,66.0,60.0,1.967795346465867,1.0000013411289894,5168458.60056749,0.05222329678670936,0.0004999582940232787,1926743834.7183354
2026-02-28 01:58:57,100.005362033844,6,0.027578966643269143,283,2.0109441816461686,24.937,1.7649786151528344,0.0,0.0,0.0,0.0,66.0,60.0,1.9780681783501695,1.0000013411289894,5168450.591007581,0.05222329678670936,0.0004999587940647381,1926742775.9049098
2026-02-28 01:59:06,110.0055046081543,5,0.02771959593493454,274,2.0429607837153236,24.937,1.7649786151528344,0.0,0.0,0.0,0.0,66.0,60.0,2.0109441816461686,1.0000013411289894,5168450.098111587,0.05222329678670936,0.0004999592941056974,1926744519.2178268
2026-02-28 01:59:17,120.00861716270447,6,0.028024292733542896,275,2.0354371166112246,24.937,1.0398787377190433,0.0,0.0,0.0,0.0,66.0,60.0,2.0429607837153236,1.0000013411289894,5168596.364997925,0.05222329678670936,0.0004999597941461565,1926800973.1058357
2026-02-28 01:59:26,130.0085985660553,5,0.02760240485854671,251,2.00113919492172,24.937,1.0398787377190433,0.0,0.0,0.0,0.0,66.0,60.0,2.0354371166112246,1.0000013411289894,5168465.994007406,0.05222329678670936,0.0004999602941861156,1926754299.167253
2026-02-28 01:59:37,140.00873684883118,6,0.027508651997436444,285,1.96971636097293,25.0,0.2838787377190572,0.0,0.0,0.0,0.0,66.0,60.0,2.00113919492172,1.0000013411289894,5168457.121879507,0.05222329678670936,0.0004999607942255746,1926752918.779576
2026-02-28 01:59:46,150.00888991355896,6,0.027672719504379405,281,1.9867246925260171,25.0,0.2838787377190572,0.0,0.0,0.0,0.0,66.0,60.0,1.96971636097293,1.0000013411289894,5168536.847806601,0.05222329678670936,0.0004999612942645334,1926784566.9502497
2026-02-28 01:59:57,160.0089979171753,5,0.02753209021271401,284,1.9868262581255531,25.062,0.4787213713717622,1.0,0.0,0.0,0.0,66.0,60.0,1.9867246925260171,1.0000013411289894,5168447.880079612,0.05222329678670936,0.000499961794302992,1926753327.6217003
2026-02-28 02:00:06,170.00912642478943,6,0.02773522141178625,286,2.0008501235999634,25.062,0.4787213713717622,1.0,0.0,0.0,0.0,66.0,60.0,1.9868262581255531,1.0000013411289894,5168439.5008477075,0.05222329678670936,0.0004999622943409505,1926752130.9591734
2026-02-28 02:00:17,180.00922894477844,5,0.027438337351603746,283,1.9838027283547472,25.062,0.497321484010236,1.0,0.0,0.0,0.0,132.0,120.0,2.0008501235999634,1.0000013411289894,5168446.524615627,0.05222329678670936,0.000499962794378409,1926756676.407038
2026-02-28 02:00:26,190.00935769081116,5,0.027696157719656972,267,1.9806932584612569,25.062,0.497321484010236,1.0,0.0,0.0,0.0,132.0,120.0,1.9838027283547472,1.0000013411289894,5168437.775711726,0.05222329678670936,0.0004999632944153674,1926755341.9229198
