time,CO2_ppm,CO2_2_ppm,O2_percent
1763394767.4554338,19990,13450,20.73
1763394772.4554513,21300,14220,20.72
1763394777.4556074,24460,14590,20.67
1763394782.4556258,26800,15260,20.65
1763394787.4556932,28590,15750,20.61
1763394792.4557972,29440,16580,20.59
1763394797.4559226,29930,17120,20.58
1763394802.4559293,30320,18610,20.7
1763394807.4560182,31720,20180,20.65
1763394812.45614,32370,22380,20.58
1763394817.4561589,33530,23510,20.56
1763394822.4562976,34360,24750,20.53
1763394827.4562953,35410,25480,20.51
1763394832.4563944,35430,26450,20.5
1763394837.4565215,35390,26870,20.51
1763394842.4565547,35580,27360,20.51
1763394847.4566367,35640,27580,20.5
1763394852.4567142,35600,27610,20.5
1763394857.4568353,35460,27540,20.51
1763394862.4568586,35380,27920,20.63
1763394867.4569309,35320,28690,20.59
1763394872.4571052,35200,29670,20.55
1763394877.4571085,35080,29980,20.52
1763394882.457249,35060,30120,20.52
1763394887.4572604,34940,30050,20.51
1763394892.4574094,34860,29900,20.52
1763394897.4574254,34570,29640,20.54
1763394902.4575198,34180,29450,20.55
1763394907.4576924,33750,28980,20.56
1763394912.4576633,32820,28570,20.56
1763394917.4578207,32630,27880,20.57
1763394922.4672685,32340,27840,20.67
1763394927.45792,32250,28380,20.65
1763394932.5009203,31930,28480,20.58
1763394937.458046,31850,28490,20.58
1763394942.5344672,31720,28420,20.57
1763394947.4648159,31670,28260,20.57
1763394952.4583755,31550,28090,20.57
1763394957.458387,31190,27770,20.58
1763394962.4584541,30470,27390,20.58
1763394967.4586077,30000,26720,20.58
1763394972.4586153,29550,26210,20.58
1763394977.458766,29050,25480,20.59
1763394982.4587507,28750,25460,20.72
1763394987.4589686,28630,25920,20.68
1763394992.4589407,28520,26070,20.64
1763394997.459016,28470,25940,20.6
1763395002.4591806,28470,25800,20.59
1763395007.4592087,28440,25390,20.6
1763395012.4592648,28420,25110,20.6
1763395017.4593563,28340,24800,20.61
1763395022.4595242,28050,24520,20.62
1763395027.4595082,27930,24120,20.62
1763395032.4595826,27620,23810,20.64
1763395037.4597116,27170,23280,20.64
1763395042.4597325,26610,23320,20.74
1763395047.4598942,26440,23650,20.73
1763395052.4598918,26150,23790,20.66
1763395057.4599748,25910,23710,20.65
1763395062.4601383,25730,23640,20.65
1763395067.4601464,25740,23440,20.65
1763395072.4603035,25620,23140,20.65
1763395077.4603016,25370,22700,20.65
1763395082.4603775,24680,22430,20.66
1763395087.4605296,24410,21980,20.66
1763395092.4606154,23940,21640,20.66
1763395097.4606173,23730,21080,20.67
1763395102.4607115,23290,21120,20.78
1763395107.4608629,23130,21450,20.74
1763395112.4608896,23080,21530,20.71
1763395117.4610593,22990,21480,20.69
1763395122.4610245,22850,21380,20.69
1763395127.461115,22750,21180,20.68
1763395132.46128,22740,21050,20.68
1763395137.4612834,22570,20520,20.69
1763395142.4613485,21990,20190,20.7
1763395147.46141,21640,19710,20.71
1763395152.4615655,21410,19360,20.72
1763395157.4649022,21210,18870,20.72
1763395162.4616523,20990,18870,20.81
1763395167.4617856,20860,19130,20.79
1763395172.4618046,20660,19170,20.73
1763395177.4619641,20620,19080,20.73
1763395182.4619644,20500,18950,20.72
1763395187.462123,20490,18670,20.73
1763395192.4621196,20170,18550,20.72
1763395197.4621994,19700,18400,20.73
1763395202.4623384,19160,18120,20.73
1763395207.462358,18810,17900,20.73
1763395212.4624822,18630,17480,20.73
1763395217.4643445,18460,17200,20.73
1763395222.4644325,18480,17090,20.86
1763395227.487964,18280,17170,20.81
1763395232.4645486,18330,17210,20.76
1763395237.521503,18290,17200,20.73
1763395242.4646907,18330,17150,20.73
1763395247.4648616,18280,17120,20.73
1763395252.4877217,18260,17020,20.73
1763395257.4650297,18120,16920,20.73
1763395262.465027,17910,16660,20.74
1763395267.4651244,17600,16470,20.74
1763395272.4652464,17430,16060,20.74
1763395277.4652586,17070,15650,20.75
1763395282.4653325,16850,15580,20.88
1763395287.4678814,16820,15730,20.83
1763395292.4655468,16660,15790,20.8
1763395297.465562,16580,15750,20.77
1763395302.4656518,16550,15640,20.76
1763395307.4658015,16560,15540,20.76
1763395312.4682963,16490,15370,20.75
1763395317.4683983,16310,15240,20.77
1763395322.4684954,16190,14820,20.78
1763395327.4686217,16000,14620,20.78
1763395332.4686306,15720,14270,20.79
1763395337.4687052,15260,14050,20.79
1763395342.468828,15220,14030,20.89
1763395347.4688666,15140,14160,20.87
1763395352.4689882,14950,14220,20.81
1763395357.468998,14740,14170,20.8
1763395362.4690945,14730,14040,20.79
1763395367.4692461,14660,13940,20.79
1763395372.4692562,14610,13740,20.79
1763395377.469347,14460,13600,20.79
1763395382.4694073,14370,13410,20.8
1763395387.4695396,14020,13230,20.8
1763395392.4695733,13910,12960,20.8
1763395397.469665,13610,12720,20.8
1763395402.4697943,13390,12710,20.9
1763395407.4698188,13330,12830,20.88
1763395412.4698944,13300,12850,20.82
1763395417.4699764,13290,12800,20.81
1763395422.4701276,13300,12680,20.81
1763395427.4701164,13300,12580,20.81
1763395432.4701972,13280,12410,20.81
1763395437.470371,13220,12300,20.81
1763395442.4703639,13170,12110,20.81
1763395447.4704967,12950,11930,20.81
1763395452.4727921,12810,11680,20.81
1763395457.4706173,12630,11470,20.81
1763395462.4707623,12520,11550,20.94
1763395467.4707515,12300,11660,20.89
1763395472.4709044,12160,11690,20.84
1763395477.4709103,12100,11670,20.82
1763395482.4709966,12030,11570,20.82
1763395487.4710882,11990,11500,20.82
1763395492.4712124,11940,11410,20.81
1763395497.4712496,11860,11300,20.81
1763395502.4713318,11770,11120,20.82
1763395507.471491,11600,10920,20.82
1763395512.4714935,11240,10760,20.82
1763395517.4716465,11150,10510,20.83
1763395522.4748662,11010,10510,20.95
1763395527.4717624,10910,10650,20.91
1763395532.5084193,10820,10670,20.87
1763395537.4719179,10770,10650,20.84
1763395542.5420754,10730,10600,20.84
1763395547.4723797,10700,10520,20.83
1763395552.472217,10600,10460,20.83
1763395557.496552,10550,10350,20.83
1763395562.4723086,10420,10200,20.83
1763395567.4724545,10380,9960,20.84
1763395572.4724734,10320,9800,20.84
1763395577.472653,10220,9560,20.84
1763395582.472623,10130,9580,20.96
1763395587.472718,10070,9730,20.93
1763395592.4729004,9980,9740,20.88
1763395597.4729042,9940,9730,20.86
1763395602.473036,9860,9680,20.85
1763395607.4730322,9810,9600,20.85
1763395612.4731894,9730,9530,20.85
1763395617.4732022,9620,9420,20.85
1763395622.473354,9270,9320,20.86
1763395627.4733665,9130,9120,20.86
1763395632.4734585,8930,8930,20.87
1763395637.4736195,8950,8660,20.87
1763395642.4736722,8790,8660,20.98
1763395647.4738183,8820,8760,20.95
1763395652.4738083,8760,8760,20.89
1763395657.4738739,8700,8740,20.88
1763395662.474018,8620,8710,20.87
1763395667.4740648,8660,8640,20.87
1763395672.4741971,8580,8580,20.87
1763395677.4742022,8500,8480,20.87
1763395682.4742968,8370,8410,20.88
1763395687.4744034,8320,8250,20.87
1763395692.474518,8170,8120,20.88
1763395697.4770608,8110,7920,20.88
1763395702.4772508,7870,7940,21.0
1763395707.474799,7870,8030,20.96
1763395712.474792,7850,8050,20.89
1763395717.4749565,7830,8030,20.88
1763395722.4749467,7800,8000,20.88
1763395727.4750428,7790,7930,20.89
1763395732.4751859,7780,7880,20.88
1763395737.4752126,7740,7790,20.88
1763395742.475276,7690,7660,20.88
1763395747.4753313,7640,7480,20.88
1763395752.4754648,7570,7390,20.88
1763395757.477061,7550,7220,20.89
1763395762.4774103,7460,7240,21.01
1763395767.47572,7410,7320,20.97
1763395772.4757514,7350,7350,20.9
1763395777.4759443,7330,7350,20.89
1763395782.4759467,7260,7320,20.89
1763395787.4760482,7220,7280,20.89
1763395792.476096,7120,7230,20.89
1763395797.4761794,7050,7170,20.89
1763395802.4763265,6960,7070,20.89
1763395807.4763372,6840,7000,20.89
1763395812.4764218,6820,6770,20.89
1763395817.4798162,6750,6630,20.89
1763395822.4776187,6590,6610,21.03
1763395827.4952605,6560,6680,20.98
1763395832.4767494,6560,6700,20.91
1763395837.5289285,6500,6700,20.89
1763395842.4769046,6510,6650,20.89
1763395847.5624752,6460,6610,20.89
1763395852.4887936,6440,6540,20.89
1763395857.4771967,6390,6480,20.89
1763395862.5260882,6340,6400,20.89
1763395867.4773343,6200,6290,20.89
1763395872.4774666,6130,6150,20.89
1763395877.477509,6050,6050,20.89
1763395882.4801083,6030,6030,21.03
1763395887.4776623,6030,6060,20.99
1763395892.4777389,6030,6090,20.93
1763395897.477925,5950,6090,20.9
1763395902.4779065,5900,6070,20.9
1763395907.4779923,5830,6050,20.9
1763395912.4780712,5760,6000,20.9
1763395917.4782004,5670,5950,20.9
1763395922.4782255,5670,5890,20.9
1763395927.4783225,5560,5830,20.9
1763395932.4784777,5540,5660,20.9
1763395937.4785824,5450,5540,20.91
1763395942.4801838,5400,5530,21.04
1763395947.4786742,5390,5600,21.01
1763395952.4788227,5360,5620,20.95
1763395957.4788675,5280,5610,20.91
1763395962.4789426,5260,5580,20.9
1763395967.4791036,5220,5560,20.91
