time,elapsed_time,Eyespy_ref_raw,Eyespy_ref_V,Eyespy_sct_raw,Eyespy_sct_V,temperature_C,peltier_duty,peltier_forward,ring_light_R,ring_light_G,ring_light_B,pump_outflow_time_s,pump_inflow_time_s,ekf_od_est,ekf_growth_rate,ekf_doubling_time_s,ekf_od_std,ekf_growth_rate_std,ekf_doubling_time_std_s
2026-02-27 19:40:50,1.3828277587890625e-05,6,0.027907101657155067,268,1.9637083651234475,25.5,54.0675,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-27 19:41:00,10.000163078308105,6,0.02657112338633381,265,1.9195585802789392,25.5,54.0675,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,
2026-02-27 19:41:10,20.000291347503662,6,0.02758172408036062,292,1.9640231725247244,25.5,55.417508271932604,0.0,0.0,0.0,0.0,0.0,0.0,1.9416299264331325,0.999996388192744,inf,0.03873294425539432,0.0005009589186930261,inf
2026-02-27 19:41:20,30.000414609909058,6,0.027427307603237833,295,1.9624495950911878,25.687,55.417508271932604,0.0,0.0,0.0,0.0,0.0,0.0,1.9490967293829562,1.0000000336996377,205686189.92330942,0.03163772901587474,0.0005018372212529034,3062970143383.3154
2026-02-27 19:41:30,40.00053310394287,6,0.027559664583628796,281,1.9597803959866364,26.0,49.85491508829115,0.0,0.0,0.0,0.0,0.0,0.0,1.952444514716938,1.000003299002983,2101105.2486034376,0.027425148992478988,0.0005025944372782464,320097336.572908
2026-02-27 19:41:40,50.00069284439087,6,0.027625843073824274,289,1.9535743242394161,26.5,49.85491508829115,0.0,0.0,0.0,0.0,0.0,0.0,1.9539261659995009,1.0000056930207661,1217557.729379105,0.024572660118326962,0.0005031902756934367,107616235.8688261
2026-02-27 19:41:50,60.000842809677124,6,0.02741995443766056,296,1.951846330328756,27.062,37.19887754121779,0.0,0.0,0.0,0.0,0.0,0.0,1.9538760730989129,1.0000055446979554,1250125.8684180903,0.022493793652437304,0.0005035850054050362,113539619.64281605
2026-02-27 19:42:00,70.00098896026611,6,0.027574370914783347,299,1.9588759566206315,27.687,37.19887754121779,0.0,0.0,0.0,0.0,0.0,0.0,1.953589550992417,1.0000045444202497,1525430.9565022916,0.020908475694594985,0.0005037400354469259,169090633.3212969
2026-02-27 19:42:10,80.00112700462341,5,0.0272195806756798,287,1.9219336527603992,28.312,22.66778053171991,0.0,0.0,0.0,0.0,0.0,0.0,1.9542786503910392,1.0000075576770968,917147.5376094262,0.019663939688423795,0.000503618242280903,61115403.513684206
2026-02-27 19:42:20,90.0013177394867,6,0.027258644367809077,266,1.9454578081606495,28.937,22.66778053171991,0.0,0.0,0.0,0.0,0.0,0.0,1.950534000084279,0.9999865024919045,inf,0.0186688841978765,0.0005031841754006408,inf
2026-02-27 19:42:30,100.00145244598389,5,0.02745396282845546,273,1.9497313760795922,29.5,9.299181421440824,0.0,0.0,0.0,0.0,0.0,0.0,1.949970516322871,0.999982823407571,inf,0.017863688788156598,0.0005024066207742104,inf
2026-02-27 19:42:40,110.00158905982971,5,0.027524277474288157,259,1.9775134739219336,30.0,9.299181421440824,0.0,0.0,0.0,0.0,0.0,0.0,1.9499167219177946,0.9999826579671045,inf,0.017208937084107014,0.0005012565603037446,inf
2026-02-27 19:42:50,120.00174903869629,6,0.027399273659474473,273,1.9682085024567402,30.375,1.3319194646859325,1.0,0.0,0.0,0.0,0.0,0.0,1.952444189549783,1.000006919691059,1001720.0524560654,0.016676101164307407,0.0004997086846414253,72339425.79839604
2026-02-27 19:43:00,130.00189208984375,6,0.027586779381694997,259,1.964919339579455,30.687,1.3319194646859325,1.0,0.0,0.0,0.0,0.0,0.0,1.95384316279152,1.0000218682018223,316973.9685924305,0.016244514582565907,0.0004977408919432766,7214547.500554911
2026-02-27 19:43:10,140.00204229354858,6,0.02750083925901059,263,1.9735680410168768,30.687,6.8504211982870125,1.0,0.0,0.0,0.0,0.0,0.0,1.9548153483571773,1.000033088042058,209505.69752208175,0.01589717573376436,0.0004953366628828227,3136303.322540022
2026-02-27 19:43:20,150.0021984577179,6,0.028250862147892696,274,1.9900294808801537,31.0,6.8504211982870125,1.0,0.0,0.0,0.0,0.0,0.0,1.9563999856143002,1.0000532914725098,130072.5918551595,0.01562048888999605,0.0004924852445362605,1202014.5507626475
2026-02-27 19:43:30,160.00232553482056,5,0.027524277474288157,275,1.9784119388409072,31.0,8.65042466012478,1.0,0.0,0.0,0.0,0.0,0.0,1.9591557334873861,1.000091553850241,75713.4553132617,0.015403505761552527,0.0004891813710177516,404526.0405594577
2026-02-27 19:43:40,170.0024483203888,6,0.027422711874752037,270,1.9550752891628773,30.937,8.65042466012478,1.0,0.0,0.0,0.0,0.0,0.0,1.960811470546163,1.000114393618102,60597.59372492488,0.015237189623166125,0.0004854250386842249,257128.91548178627
2026-02-27 19:43:50,180.00257349014282,5,0.02723520615253151,255,1.9647396465956604,30.875,7.412926115223171,1.0,0.0,0.0,0.0,0.0,0.0,1.9605819894307115,1.0001069518534498,64813.43654566454,0.01511280496871076,0.0004812231560417647,291608.39884064574
2026-02-27 19:44:00,190.00269770622253,6,0.027875850703451645,281,2.0263587145603807,30.75,7.412926115223171,1.0,0.0,0.0,0.0,0.0,0.0,1.9610886543320445,1.000112063210056,61857.37379210599,0.015022256386449266,0.0004765900805096079,263056.5289828464
2026-02-27 19:44:10,200.002827167511,5,0.02748521378215888,270,1.9669194006164739,30.625,4.6004297943198695,1.0,0.0,0.0,0.0,0.0,0.0,1.966160922339344,1.000198946944679,34844.651611609734,0.014959561418400828,0.0004715452284990588,82580.78590731857
2026-02-27 19:44:20,210.00294709205627,5,0.02750083925901059,275,1.9574567956642175,30.5,4.6004297943198695,1.0,0.0,0.0,0.0,0.0,0.0,1.966579344817311,1.0001994507827787,34756.63336275367,0.014921394924563099,0.0004661093793713032,81216.91606337251
2026-02-27 19:44:30,220.00307369232178,6,0.027544958252474244,307,1.9890165823218842,30.312,1.712930413910152,1.0,0.0,0.0,0.0,0.0,0.0,1.9662674198730237,1.0001861082854744,37248.1740295908,0.014900369596356112,0.000460312083300691,92119.43092229473
2026-02-27 19:44:40,230.0031886100769,6,0.02768466839844248,295,1.9937593741192268,30.187,1.712930413910152,1.0,0.0,0.0,0.0,0.0,0.0,1.968287981857088,1.0002180599227781,31790.809939300667,0.014891857785688802,0.0004541873357015294,66208.44897319218
