time,CO2_ppm,O2_percent
1763042781.1470356,15870,20.78
1763042785.945018,15860,20.78
1763042790.9450455,15840,20.79
1763042795.9451945,15820,20.79
1763042800.9451778,15810,20.78
1763042805.9452593,15820,20.78
1763042810.9454122,15820,20.78
1763042815.945456,15810,20.78
1763042820.94555,15800,20.77
1763042825.94555,15790,20.77
1763042830.9456985,15780,20.77
1763042835.9457192,15770,20.77
1763042840.9457989,15760,20.77
1763042845.9459302,15760,20.78
1763042850.9459653,15740,20.78
1763042855.946026,15730,20.78
1763042860.9460955,15720,20.78
1763042865.946251,15720,20.78
1763042870.9462566,15710,20.78
1763042875.9463384,15690,20.77
1763042880.9464827,15680,20.78
1763042885.9464839,15670,20.78
1763042890.9465737,15670,20.78
1763042895.9466445,15660,20.78
1763042900.9467733,15650,20.78
1763042905.946789,15620,20.78
1763042910.9468675,15610,20.78
1763042915.946995,15590,20.78
1763042920.9470203,15560,20.78
1763042925.9471486,15500,20.78
1763042930.947168,15480,20.78
1763042935.9472973,15410,20.78
1763042940.9473147,15330,20.78
1763042945.947391,15230,20.79
1763042950.9475296,15160,20.79
1763042955.9475584,15040,20.79
1763042960.947691,14950,20.79
1763042965.947697,14790,20.79
1763042970.9477813,14700,20.8
1763042975.9479127,14610,20.8
1763042980.947932,14580,20.8
1763042985.9479916,14550,20.8
1763042990.9480722,14570,20.8
1763042995.9481883,14540,20.8
1763043000.9482188,14530,20.8
1763043005.9483123,14480,20.8
1763043010.9484148,14450,20.8
1763043015.948478,14420,20.8
1763043020.9485297,14370,20.8
1763043025.948615,14340,20.8
1763043030.9487348,14330,20.8
1763043035.9487567,14320,20.8
1763043040.9488258,14300,20.8
1763043045.948956,14300,20.8
1763043050.9490013,14280,20.8
1763043055.949127,14270,20.8
1763043060.9491518,14220,20.8
1763043065.9567266,14160,20.81
1763043070.9493034,14130,20.8
1763043075.9493883,14130,20.81
1763043080.9495242,14110,20.81
1763043085.94953,14110,20.81
1763043090.949651,14110,20.81
1763043095.9496696,14080,20.81
1763043100.9498165,14050,20.81
1763043105.9498308,14010,20.81
1763043110.9499187,13930,20.8
1763043115.9500375,13900,20.81
1763043120.9500668,13830,20.81
1763043125.9501336,13720,20.81
1763043130.9502428,13620,20.81
1763043135.9503436,13510,20.81
1763043140.9503691,13480,20.81
1763043145.9504638,13410,20.81
1763043150.9505947,13370,20.82
1763043155.9506102,13290,20.81
1763043160.950729,13210,20.81
1763043165.9507654,13200,20.81
1763043170.950839,13170,20.81
1763043175.950963,13160,20.81
1763043180.9509828,13170,20.81
1763043185.9510622,13170,20.81
1763043190.9540038,13150,20.81
1763043195.9541295,13130,20.81
1763043200.954176,13020,20.81
1763043205.954221,13010,20.81
1763043210.9543695,12980,20.81
1763043215.9544134,13010,20.81
1763043220.954476,12970,20.81
1763043225.9545505,12920,20.81
1763043230.9546912,12900,20.81
1763043235.954697,12890,20.81
1763043240.9547832,12890,20.81
1763043245.954916,12890,20.81
1763043250.9549468,12880,20.82
1763043255.9550889,12890,20.82
1763043260.955099,12880,20.82
1763043265.9552326,12880,20.82
1763043270.955263,12840,20.82
1763043275.955321,12830,20.82
1763043280.9554374,12740,20.82
1763043285.9554737,12710,20.82
1763043290.955598,12650,20.82
1763043295.9556432,12600,20.82
