time,CO2_ppm,O2_percent
1763044030.2908728,8840,20.88
1763044035.0886781,8800,20.88
1763044040.0887156,8770,20.88
1763044045.0888312,8700,20.88
1763044050.0888371,8420,20.88
1763044055.0891047,8210,20.89
1763044060.0891125,7620,20.89
1763044065.0892115,7180,20.89
1763044070.0893166,6670,20.9
1763044075.0893283,6220,20.89
1763044080.089456,5700,20.9
1763044085.0894945,5650,20.9
1763044090.0895655,5600,20.9
1763044095.0897067,5510,20.9
1763044100.0897498,5500,20.91
1763044105.0898685,5490,20.91
1763044110.089899,5560,20.9
1763044115.0900476,5570,20.91
1763044120.090058,5510,20.91
1763044125.0902112,5490,20.91
1763044130.0902247,5430,20.92
1763044135.090309,5400,20.91
1763044140.0904384,5350,20.91
1763044145.0904832,5290,20.9
1763044150.0906277,5160,20.91
1763044155.0906246,5130,20.92
1763044160.0907204,4980,20.92
1763044165.090828,4870,20.92
1763044170.0908637,4730,20.92
1763044175.0909927,4700,20.93
1763044180.0910106,4640,20.92
1763044185.0911667,4640,20.92
1763044190.0911727,4600,20.93
1763044195.0912633,4560,20.93
1763044200.091388,4570,20.93
1763044205.0914059,4540,20.93
1763044210.0915375,4540,20.93
1763044215.0915759,4530,20.94
1763044220.0917084,4520,20.95
1763044225.0917125,4510,20.94
1763044230.0918036,4490,20.94
1763044235.0919378,4490,20.94
1763044240.0919557,4480,20.95
1763044245.0921113,4470,20.94
1763044250.0921311,4470,20.94
1763044255.092268,4460,20.94
1763044260.092293,4430,20.94
1763044265.0923712,4440,20.94
1763044270.09248,4420,20.94
1763044275.0925148,4410,20.95
1763044280.0926497,4390,20.94
1763044285.0926485,4390,20.94
1763044290.0927286,4390,20.94
1763044295.0928552,4380,20.94
1763044300.0928786,4380,20.94
1763044305.092993,4380,20.94
1763044310.11692,4370,20.94
1763044315.0931,4340,20.94
1763044320.0932152,4340,20.94
1763044325.0933096,4310,20.94
1763044330.0933444,4310,20.95
1763044335.0934198,4310,20.94
1763044340.093538,4310,20.95
1763044345.0935545,4300,20.95
1763044350.0936875,4280,20.95
1763044355.093712,4250,20.95
1763044360.0937955,4200,20.95
1763044365.093927,4180,20.95
1763044370.0939827,4160,20.95
1763044375.0940332,4120,20.95
1763044380.0940936,4120,20.95
1763044385.0942392,4120,20.95
1763044390.0942492,4110,20.95
1763044395.0943387,4090,20.95
1763044400.0944958,4080,20.96
1763044405.0945168,4090,20.96
1763044410.0945973,4080,20.96
1763044415.0946696,4090,20.95
1763044420.0948007,4080,20.95
1763044425.0948117,4080,20.95
1763044430.0949078,4070,20.95
1763044435.0950453,4060,20.95
1763044440.0950687,4060,20.95
1763044445.0951447,4060,20.95
1763044450.0952356,4060,20.95
1763044455.0953488,4050,20.95
1763044460.095371,4050,20.95
1763044465.0954556,4040,20.95
1763044470.0955849,4050,20.95
1763044475.095604,4050,20.95
1763044480.0957315,4050,20.95
1763044485.0957549,4050,20.95
1763044490.09583,4050,20.95
1763044495.0959566,4040,20.95
1763044500.0959728,4040,20.95
1763044505.0961282,4040,20.95
1763044510.096148,4040,20.95
1763044515.0962915,4040,20.95
1763044520.0975692,4030,20.95
1763044525.0963998,4010,20.95
1763044530.0965433,4010,20.95
1763044535.0965574,4000,20.95
1763044540.0966933,4000,20.95
1763044545.0967147,3990,20.95
1763044550.0967882,3990,20.95
1763044555.0968773,3960,20.95
1763044560.0969667,3970,20.95
1763044565.0970037,3960,20.95
1763044570.0970979,3950,20.95
1763044575.0972087,3960,20.96
1763044580.0972228,3960,20.96
1763044585.0973504,3960,20.96
1763044590.0973704,3960,20.96
1763044595.0974398,3940,20.96
1763044600.0975819,3950,20.96
1763044605.0980005,3950,20.96
1763044610.0977235,3960,20.96
1763044615.1326423,3950,20.96
1763044620.097815,3970,20.96
1763044625.097965,3950,20.95
1763044630.0979993,3940,20.95
1763044635.0981033,3940,20.95
1763044640.0981462,3900,20.95
1763044645.0982654,3910,20.95
1763044650.0982935,3910,20.96
1763044655.0984476,3910,20.95
1763044660.0984664,3920,20.96
