time,CO2_ppm,O2_percent
1763389411.0407004,15260,20.89
1763389415.8635437,15170,20.89
1763389420.8635595,15230,20.9
1763389425.8636467,15310,20.89
1763389430.8637748,15320,20.89
1763389435.863795,15290,20.89
1763389440.8639662,15290,20.89
1763389445.8678396,15300,20.89
1763389450.8640165,15310,20.89
1763389455.8641572,15280,20.89
1763389460.864185,15260,20.89
1763389465.864321,15220,20.89
1763389470.868202,15200,20.89
1763389475.8682923,15180,20.9
1763389480.868418,15190,20.89
1763389485.8684647,15120,20.89
1763389490.8685534,15030,20.9
1763389495.8686264,15010,20.89
1763389500.8687701,14960,20.89
1763389505.8687904,14860,20.89
1763389510.8689032,14770,20.9
1763389515.8689525,14720,20.9
1763389520.8690267,14670,20.9
1763389525.8691726,14590,20.95
1763389530.8691816,14580,20.97
1763389535.869322,14560,20.89
1763389540.8693657,14520,20.89
1763389545.8694406,14500,20.9
1763389550.8695729,14490,20.91
1763389555.8696203,14410,20.9
1763389560.8697653,14390,20.9
1763389565.8697782,14390,20.9
1763389570.8699229,14400,20.89
1763389575.8699708,14370,20.9
1763389580.8700287,14350,20.9
1763389585.870159,14310,20.9
1763389590.8702028,14260,20.89
1763389595.870319,14140,20.89
1763389600.8703582,14110,20.89
1763389605.8704302,14110,20.9
1763389610.8705413,14130,20.89
1763389615.870624,14130,20.89
1763389620.87068,14120,20.89
1763389625.870745,14100,20.89
1763389630.87089,14070,20.89
1763389635.8709083,14060,20.89
1763389640.8710551,14000,20.89
1763389645.8710797,13990,20.89
1763389650.8711631,13890,20.89
1763389655.871295,13850,20.89
1763389660.8713164,13820,20.89
1763389665.8714128,13810,20.89
1763389670.8715181,13780,20.89
1763389675.8716154,13760,20.9
1763389680.8717508,13710,20.89
1763389685.8718266,13710,20.89
1763389690.872736,13710,20.89
1763389695.8720613,13720,20.9
1763389700.872055,13720,20.89
1763389705.9047372,13700,20.9
1763389710.8723397,13680,20.89
1763389715.8723004,13640,20.9
1763389720.872342,13560,20.9
1763389725.8724763,13540,20.9
1763389730.872517,13550,20.9
1763389735.8726628,13540,20.9
1763389740.8744676,13480,20.9
1763389745.8728106,13460,20.9
1763389750.8728285,13430,20.89
1763389755.8729057,13400,20.89
1763389760.8730502,13380,20.9
1763389765.8748841,13370,20.89
1763389770.8750405,13340,20.9
1763389775.875048,13310,20.9
1763389780.875178,13260,20.9
1763389785.8753703,13250,20.9
1763389790.875353,13210,20.9
1763389795.8754652,13190,20.9
1763389800.8762164,13150,20.89
1763389805.8763633,13120,20.9
1763389810.8766968,13090,20.9
1763389815.8764677,13090,20.91
1763389820.876613,13040,20.9
1763389825.8766549,13040,20.9
1763389830.8767626,12990,20.9
1763389835.877666,12960,20.9
1763389840.879864,12830,20.9
1763389845.8770063,12800,20.9
1763389850.8770888,12710,20.9
1763389855.87717,12670,20.9
1763389860.8772418,12650,20.9
1763389865.881024,12610,20.9
1763389870.8774774,12590,20.91
1763389875.8781836,12560,20.9
1763389880.8776128,12510,20.91
1763389885.8776922,12490,20.9
1763389890.8779557,12430,20.91
1763389895.8779166,12420,20.9
1763389900.8780704,12400,20.9
1763389905.878071,12370,20.9
1763389910.8781543,12330,20.9
1763389915.87831,12290,20.9
1763389920.8783448,12260,20.91
1763389925.8784924,12260,20.91
1763389930.8785036,12200,20.9
1763389935.8787196,12130,20.91
1763389940.8806953,12070,20.91
1763389945.8788106,12060,20.91
1763389950.8788137,12040,20.91
1763389955.8789284,11960,20.91
1763389960.8790395,11910,20.91
1763389965.8790727,11900,20.9
1763389970.8791933,11890,20.93
1763389975.8792372,11860,20.93
1763389980.8793309,11840,20.93
1763389985.8794577,11830,20.92
