time,CO2_ppm,O2_percent
1763042540.8734484,17410,20.74
1763042545.6707382,17380,20.75
1763042550.6707366,17370,20.76
1763042555.6708248,17370,20.75
1763042560.670936,17340,20.75
1763042565.6744874,17320,20.74
1763042570.6710865,17340,20.74
1763042575.6711216,17370,20.75
1763042580.6711807,17360,20.75
1763042585.6713126,17350,20.74
1763042590.6737373,17360,20.74
1763042595.6739035,17360,20.74
1763042600.673885,17350,20.74
1763042605.6739721,17330,20.74
1763042610.6740925,17320,20.74
1763042615.6741343,17310,20.74
1763042620.6742485,17300,20.74
1763042625.6774633,17310,20.74
1763042630.677603,17300,20.74
1763042635.677621,17300,20.74
1763042640.6777089,17310,20.74
1763042645.677828,17300,20.75
1763042650.6778562,17290,20.75
1763042655.6779196,17270,20.74
1763042660.6819973,17280,20.74
1763042665.6821244,17270,20.74
1763042670.685582,17240,20.74
1763042675.6822095,17220,20.74
1763042680.6878035,17180,20.74
1763042685.682399,17150,20.74
1763042690.7063253,17140,20.74
1763042695.685985,17040,20.75
1763042700.6861045,16920,20.75
1763042705.6861408,16800,20.75
1763042710.686222,16710,20.75
1763042715.6863744,16620,20.75
1763042720.6863863,16520,20.75
1763042725.6865146,16240,20.76
1763042730.6865473,16130,20.76
1763042735.686658,16110,20.76
